IMAGE PATH,JOD,JOD STD,CI LOW,CI HIGH,CI RANGE,QUALITY LEVEL,CLUSTER,TOTAL COMPARISONS,IMAGE,SCENE,ATTRIBUTE,SCENE IDX,CONDITION,SPLIT
Details\33_Indoor_Scene_0.jpg,-3.702848776333557,0.3606125955905438,-4.438902490277838,-3.0966029625945244,1.3422995276833132,0,-1.0,86.0,33_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\2_Indoor_Scene_0.JPG,-2.9147958386992823,0.4036156138572375,-3.721170221921155,-2.1783452513738144,1.5428249705473407,0,-1.0,95.0,2_Indoor_Scene_0.JPG,Indoor_Scene_0,Details,0,Indoor,Train
Details\44_Indoor_Scene_0.jpg,-2.7949807143805927,0.4038033203493626,-3.564729882843072,-2.034851504606417,1.529878378236655,0,-1.0,124.0,44_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\31_Indoor_Scene_0.tiff,-2.73067135333586,0.3474590718275224,-3.363312889867279,-2.016440357728827,1.3468725321384525,0,-1.0,119.0,31_Indoor_Scene_0.tiff,Indoor_Scene_0,Details,0,Indoor,Train
Details\32_Indoor_Scene_0.jpg,-2.464653199635712,0.3545403189944878,-3.1461998842373777,-1.8103003736264949,1.3358995106108829,0,-1.0,126.0,32_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\36_Indoor_Scene_0.jpeg,-1.8347865588005807,0.2805132431099581,-2.377749038348091,-1.2572366409984943,1.1205123973495967,1,-1.0,141.0,36_Indoor_Scene_0.jpeg,Indoor_Scene_0,Details,0,Indoor,Train
Details\29_Indoor_Scene_0.jpg,-1.6526099488528407,0.3489144486826697,-2.3951964547012987,-1.0642413349154425,1.3309551197858565,1,-1.0,155.0,29_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\21_Indoor_Scene_0.JPG,-1.3944096079441315,0.2587038717527087,-1.890010157959736,-0.9145474671924296,0.975462690767306,1,0.0,153.0,21_Indoor_Scene_0.JPG,Indoor_Scene_0,Details,0,Indoor,Train
Details\48_Indoor_Scene_0.jpg,-1.4056527419845173,0.4678435682074269,-2.3657715159215247,-0.5342175180583398,1.831553997863185,1,0.0,159.0,48_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\46_Indoor_Scene_0.jpg,-1.2646921041681751,0.2760406510323793,-1.7658438493752888,-0.7428265433719133,1.0230173060033754,1,1.0,165.0,46_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\20_Indoor_Scene_0.jpg,-1.2314930021303534,0.5532337926395203,-2.256785927487248,-0.2312017941450418,2.0255841333422056,1,1.0,169.0,20_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\10_Indoor_Scene_0.jpg,-1.1038489738924997,0.2815311203968196,-1.6525051145340213,-0.4925496962593726,1.1599554182746483,1,2.0,184.0,10_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\66_Indoor_Scene_0.jpg,-1.148919383021244,0.6016134886903399,-2.5762926705745466,-0.1588902127573762,2.4174024578171704,1,2.0,182.0,66_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\56_Indoor_Scene_0.jpg,-0.8944342647172102,0.3165075845190265,-1.5018793386195797,-0.3119925906534233,1.1898867479661563,2,3.0,152.0,56_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\23_Indoor_Scene_0.jpg,-0.7792070953553432,0.3717151253999135,-1.504347204402048,-0.019710940761239,1.484636263640809,2,3.0,163.0,23_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\58_Indoor_Scene_0.jpg,-0.8459652658952329,0.3886056196157759,-1.6221107638882235,-0.0800187113172618,1.5420920525709616,2,3.0,164.0,58_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\49_Indoor_Scene_0.jpg,-0.8489723145290708,0.5688737806150033,-1.9381811560299136,0.204597040765578,2.142778196795492,2,3.0,182.0,49_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\64_Indoor_Scene_0.jpg,-0.7218873678071277,0.3113467839696329,-1.2922156000675709,-0.0841826764116836,1.208032923655887,2,4.0,173.0,64_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\4_Indoor_Scene_0.JPG,-0.7045550028746309,0.3786561211324792,-1.4632613259809668,-0.0152785241133507,1.4479828018676162,2,4.0,163.0,4_Indoor_Scene_0.JPG,Indoor_Scene_0,Details,0,Indoor,Train
Details\67_Indoor_Scene_0.jpg,-0.7022477021780331,0.2817368614476211,-1.2075199401891406,-0.136784197766257,1.0707357424228836,2,4.0,151.0,67_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\60_Indoor_Scene_0.jpg,-0.6828938530631082,0.3072623449026933,-1.2867551376640916,-0.0912633721361606,1.195491765527931,2,4.0,156.0,60_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\37_Indoor_Scene_0.jpg,-0.6164241696777567,0.326115152117418,-1.254176788370604,0.0140452216153253,1.2682220099859292,2,4.0,167.0,37_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\5_Indoor_Scene_0.jpg,-0.6363900036246917,0.6095309883859509,-1.788783739500901,0.4379153269809951,2.226699066481896,2,4.0,217.0,5_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\11_Indoor_Scene_0.JPG,-0.5274141399778862,0.3263244788782823,-1.221061309997144,0.097473234940467,1.3185345449376111,2,6.0,186.0,11_Indoor_Scene_0.JPG,Indoor_Scene_0,Details,0,Indoor,Train
Details\30_Indoor_Scene_0.jpg,-0.489012181445542,0.273542456139149,-1.0852961199026512,0.0609549264477329,1.146251046350384,2,6.0,154.0,30_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\24_Indoor_Scene_0.jpg,-0.433468806226634,0.3667143726571423,-1.1345759282211043,0.3375110359436433,1.4720869641647476,2,-1.0,165.0,24_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\70_Indoor_Scene_0.jpg,-0.3400716850582955,0.2981250213960593,-0.9063701557993954,0.251669328214445,1.1580394840138404,2,7.0,152.0,70_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\57_Indoor_Scene_0.jpg,-0.3354642977840381,0.233148506406429,-0.7995341798563186,0.152679046276648,0.9522132261329666,2,7.0,148.0,57_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\35_Indoor_Scene_0.jpg,-0.3404299181000361,0.3311912143573065,-1.0064986672952154,0.280027320995692,1.2865259882909077,2,7.0,155.0,35_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\12_Indoor_Scene_0.jpg,-0.2447461722959446,0.3122375230074081,-0.8707027412090108,0.3349297364152887,1.2056324776242997,2,5.0,153.0,12_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\9_Indoor_Scene_0.jpg,-0.220191918599464,0.3093596544381066,-0.8528143615025073,0.3955861825973922,1.2484005440998995,2,5.0,180.0,9_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\34_Indoor_Scene_0.jpg,-0.31024195961073,0.6035003403116974,-1.4421619736192022,0.9170865282321192,2.3592485018513214,2,7.0,158.0,34_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\69_Indoor_Scene_0.jpg,-0.20169744636895,0.3645660739474411,-0.8899284971271701,0.5484075371216092,1.4383360342487794,2,5.0,156.0,69_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\7_Indoor_Scene_0.jpg,-0.1294148353221697,0.3432405806946251,-0.7236484867163485,0.5815505585547193,1.3051990452710678,3,9.0,153.0,7_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\41_Indoor_Scene_0.JPG,-0.1132207585773118,0.462736814917331,-0.976517165799244,0.7629806703614791,1.739497836160723,3,9.0,186.0,41_Indoor_Scene_0.JPG,Indoor_Scene_0,Details,0,Indoor,Train
Details\62_Indoor_Scene_0.jpg,-0.0577642904598106,0.3684291041356702,-0.7970765808134525,0.6554942184241599,1.4525707992376122,3,9.0,164.0,62_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\53_Indoor_Scene_0.jpg,0.0242157035550008,0.5222100641396331,-1.0093037222919483,1.028755523292374,2.0380592455843223,3,10.0,176.0,53_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\52_Indoor_Scene_0.jpg,-0.0551999035370086,0.3772071572654538,-0.8495097718086212,0.641212740259598,1.4907225120682193,3,9.0,152.0,52_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\38_Indoor_Scene_0.jpg,0.0336987065660404,0.3278926364909051,-0.6118780837179738,0.7021645355014013,1.314042619219375,3,10.0,152.0,38_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\3_Indoor_Scene_0.JPG,0.0204273994515133,0.2885277946268971,-0.5182488495514678,0.6669843841393257,1.1852332336907936,3,10.0,160.0,3_Indoor_Scene_0.JPG,Indoor_Scene_0,Details,0,Indoor,Train
Details\47_Indoor_Scene_0.jpg,0.1135266179687805,0.3064099989853437,-0.4848590912725874,0.6985473917605347,1.183406483033122,3,11.0,143.0,47_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
Details\71_Indoor_Scene_0.jpg,0.1161884839002105,0.3058942690580072,-0.4878782112858189,0.6808859002210127,1.1687641115068317,3,11.0,149.0,71_Indoor_Scene_0.jpg,Indoor_Scene_0,Details,0,Indoor,Train
